interaction_id,mentee_id,mentor_id,interaction_type,session_duration_minutes,rating_given_by_user,helpfulness_score,match_success
289,1606,460,video_call,39,2,6,0
290,1978,829,chat,58,2,6,0
291,1390,970,chat,34,3,8,0
292,1030,541,chat,15,2,10,0
293,284,894,chat,8,4,6,1
294,211,729,video_call,23,1,4,0
295,559,461,video_call,58,4,2,0
296,455,837,chat,27,1,8,0
297,110,406,chat,20,4,2,1
298,58,327,video_call,58,3,4,0
299,282,40,chat,58,4,4,0
300,961,460,video_call,10,1,6,0
301,442,856,video_call,40,5,10,1
302,1590,296,video_call,24,1,2,0
303,489,430,chat,9,1,8,0
304,1223,549,video_call,45,5,10,1
305,295,299,chat,5,5,6,1
306,854,192,video_call,38,3,2,0
307,1953,539,video_call,29,4,2,1
308,765,260,video_call,27,1,6,0
309,494,751,video_call,54,5,6,1
310,722,560,chat,57,2,8,0
311,1425,491,video_call,56,2,2,0
312,1467,795,chat,7,3,4,0
313,90,811,video_call,7,3,6,0
314,1056,408,chat,21,1,4,0
315,586,366,video_call,60,3,6,0
316,255,819,chat,32,4,8,0
317,792,348,video_call,36,4,6,0
318,1064,274,video_call,51,4,2,1
319,1685,185,chat,25,1,2,0
320,672,677,chat,24,4,10,0
321,342,707,chat,27,4,2,0
322,1867,362,chat,22,1,2,0
323,1375,653,chat,28,5,4,0
324,293,870,chat,7,2,2,0
325,484,798,chat,28,4,10,1
326,315,696,chat,28,3,8,0
327,1563,79,video_call,38,3,8,0
328,644,666,chat,20,1,2,0
329,1507,191,chat,38,4,10,1
330,1588,267,chat,18,5,6,1
331,1006,205,video_call,13,1,8,0
332,354,921,chat,10,3,6,0
333,1454,67,chat,24,2,4,0
334,1626,371,video_call,12,2,4,0
335,485,810,chat,6,3,10,0
336,1173,378,chat,56,5,4,1
337,177,68,chat,30,4,10,1
338,839,844,video_call,13,3,2,0
339,922,478,chat,13,5,10,1
340,1979,133,chat,37,1,2,0
341,1062,157,chat,15,2,6,0
342,1915,727,video_call,27,5,6,0
343,514,202,chat,13,3,10,0
344,1093,96,video_call,42,5,4,1
345,1279,738,chat,58,5,2,0
346,59,84,video_call,46,5,6,1
347,1571,586,chat,44,1,8,0
348,1821,643,chat,46,3,8,0
349,502,825,chat,24,4,2,1
350,324,451,chat,35,4,4,1
351,295,321,chat,51,3,8,0
352,268,779,chat,37,5,2,1
353,956,126,chat,33,2,4,0
354,199,52,chat,29,5,8,1
355,1773,924,video_call,57,3,10,0
356,1477,321,video_call,53,2,8,0
357,1055,479,chat,24,4,2,1
358,806,518,chat,20,2,10,0
359,723,50,video_call,23,4,10,0
360,1340,689,chat,23,5,2,0
361,883,138,chat,51,3,8,0
362,750,47,chat,8,5,10,1
363,1134,296,video_call,29,5,8,0
364,573,846,video_call,13,1,8,0
365,765,814,chat,40,3,4,0
366,408,617,chat,37,1,2,0
367,80,141,chat,56,4,10,1
368,1242,915,video_call,25,5,6,1
369,1263,758,chat,42,3,10,0
370,1697,522,chat,50,5,6,1
371,35,378,chat,48,1,8,0
372,1196,316,video_call,43,4,6,0
373,1604,996,video_call,51,1,10,0
374,984,175,chat,14,2,2,0
375,1173,971,video_call,17,1,8,0
376,643,429,video_call,31,2,8,0
377,1028,794,chat,60,1,4,0
378,1063,213,chat,47,4,10,1
379,1960,178,chat,39,3,10,0
380,726,693,chat,44,4,4,0
381,572,572,chat,19,3,6,0
382,1444,213,chat,25,4,6,1
383,1914,815,chat,23,1,10,0
384,1386,557,chat,30,3,4,0
385,595,44,chat,50,1,6,0
386,1893,453,chat,52,4,4,1
387,1104,278,chat,13,1,10,0
388,1518,601,video_call,20,1,10,0
389,463,654,video_call,8,1,8,0
390,677,735,chat,11,2,2,0
391,1976,564,video_call,31,4,8,1
392,1549,988,chat,25,3,2,0
393,1860,788,video_call,46,5,4,1
394,1481,871,video_call,16,4,4,0
395,75,857,chat,55,4,4,0
396,1971,894,chat,7,1,6,0
397,1164,618,video_call,26,3,8,0
398,1314,557,chat,13,5,8,1
399,1657,116,chat,15,4,6,0
400,29,755,chat,55,3,10,0
401,1382,776,video_call,16,5,8,0
402,1056,336,video_call,30,1,4,0
403,288,489,chat,20,1,6,0
404,786,242,chat,53,3,6,0
405,619,597,video_call,21,3,4,0
406,128,684,video_call,34,3,4,0
407,831,703,chat,49,1,6,0
408,753,630,video_call,19,2,8,0
409,314,466,chat,31,5,8,0
410,1643,681,video_call,53,2,10,0
411,1789,807,video_call,38,4,10,0
412,160,940,video_call,8,5,10,1
413,1100,154,video_call,25,5,8,1
414,421,735,chat,10,5,8,0
415,929,136,chat,34,5,2,1
416,1378,827,chat,51,1,8,0
417,522,837,video_call,52,2,10,0
418,150,47,chat,27,1,10,0
419,124,958,video_call,35,1,6,0
420,838,185,video_call,54,4,6,0
421,784,460,chat,29,1,10,0
422,273,670,chat,12,2,10,0
423,805,542,video_call,51,2,2,0
424,1549,24,chat,34,5,8,1
425,1687,236,video_call,34,3,4,0
426,565,194,video_call,7,4,10,0
427,1810,911,video_call,20,2,2,0
428,207,609,video_call,33,5,2,1
429,91,412,chat,19,5,4,0
430,1590,58,video_call,37,3,4,0
431,1671,939,chat,41,5,6,1
432,1795,147,video_call,31,3,6,0
433,125,571,video_call,45,4,10,1
434,1992,353,chat,55,5,6,1
435,837,153,chat,29,2,10,0
436,970,247,video_call,24,2,8,0
437,1874,60,chat,31,5,10,1
438,498,262,video_call,26,1,8,0
439,1735,380,video_call,39,2,2,0
440,550,387,video_call,60,1,4,0
441,1648,780,video_call,35,2,6,0
442,621,980,video_call,18,2,2,0
443,1530,773,chat,20,5,4,1
444,491,566,chat,54,3,8,0
445,955,547,chat,24,3,6,0
446,1051,904,chat,34,1,8,0
447,1560,860,chat,18,3,6,0
448,848,47,video_call,52,2,2,0
449,535,567,chat,23,2,4,0
450,676,236,chat,41,2,8,0
451,1128,671,chat,21,4,8,1
452,1501,815,chat,15,2,10,0
453,1001,189,video_call,38,1,2,0
454,1936,838,video_call,53,1,8,0
455,282,863,video_call,9,2,2,0
456,448,518,chat,28,1,10,0
457,1307,683,chat,47,4,2,1
458,1130,422,video_call,6,5,6,1
459,588,18,chat,56,2,2,0
460,1881,99,video_call,20,2,10,0
461,1079,259,chat,22,4,2,1
462,832,471,video_call,49,2,6,0
463,1401,848,video_call,46,1,2,0
464,831,389,chat,40,4,2,1
465,1440,176,video_call,36,4,6,1
466,1758,998,video_call,38,1,4,0
467,433,923,chat,22,1,2,0
468,1402,948,chat,39,5,2,1
469,1742,323,video_call,18,5,4,0
470,1460,841,chat,9,3,4,0
471,1155,247,chat,48,5,6,1
472,1515,144,video_call,37,3,2,0
473,201,448,video_call,58,1,6,0
474,1240,788,chat,54,3,2,0
475,1299,280,chat,36,2,6,0
476,1133,964,chat,32,2,10,0
477,1354,390,video_call,54,5,6,0
478,1461,76,video_call,22,2,8,0
479,1458,803,video_call,52,4,6,1
480,188,6,chat,33,3,6,0
481,210,136,video_call,16,4,8,1
482,1050,418,video_call,6,1,6,0
483,1136,96,chat,60,4,2,1
484,795,798,video_call,51,5,4,1
485,348,702,chat,15,2,6,0
486,617,275,chat,14,1,4,0
487,891,283,chat,24,4,2,1
488,1934,253,chat,43,5,4,1
489,278,312,video_call,30,3,10,0
490,779,824,chat,33,3,8,0
491,1671,844,video_call,24,3,10,0
492,1941,712,video_call,35,3,4,0
493,1976,408,chat,23,4,10,0
494,668,386,chat,57,4,6,1
495,1155,205,video_call,48,5,2,0
496,946,966,video_call,33,3,2,0
497,1678,869,chat,48,4,4,1
498,496,259,video_call,50,4,8,1
499,1225,491,chat,39,5,8,1
500,1620,992,chat,49,5,10,1
501,175,112,video_call,47,3,4,0
502,1326,628,video_call,41,4,6,0
503,882,109,video_call,11,3,4,0
504,1046,765,video_call,33,3,8,0
505,949,791,video_call,27,1,8,0
506,215,303,chat,10,1,4,0
507,714,320,chat,34,2,10,0
508,990,357,chat,11,4,8,1
509,615,46,video_call,6,3,2,0
510,1387,820,video_call,52,2,10,0
511,358,566,video_call,26,5,8,0
512,475,817,chat,45,2,4,0
513,1312,674,chat,30,1,10,0
514,1809,203,chat,42,4,8,1
515,440,211,chat,53,1,10,0
516,209,819,video_call,28,3,4,0
517,938,117,chat,47,4,10,0
518,642,612,chat,44,4,10,1
519,721,866,chat,44,2,6,0
520,1882,630,video_call,48,2,6,0
521,242,245,chat,12,2,6,0
522,1421,145,chat,31,5,4,1
523,867,191,chat,45,5,4,1
524,1003,296,video_call,16,3,8,0
525,1269,55,chat,5,4,4,1
526,787,987,chat,31,4,8,0
527,910,501,video_call,10,5,2,0
528,452,300,video_call,22,2,10,0
529,592,173,chat,41,4,10,1
530,1173,117,chat,54,5,6,1
531,1550,43,chat,39,2,8,0
532,210,754,video_call,24,1,8,0
533,539,357,video_call,33,1,4,0
534,430,831,chat,60,5,8,1
535,286,804,video_call,57,2,2,0
536,1168,360,chat,43,5,4,1
537,1442,300,chat,41,3,10,0
538,1844,696,video_call,13,4,2,0
539,1776,672,video_call,49,2,4,0
540,300,729,chat,58,2,8,0
541,1003,146,chat,45,4,8,1
542,1298,814,video_call,30,5,6,1
543,1797,378,chat,36,3,10,0
544,6,890,video_call,51,4,6,0
545,1630,548,chat,18,4,4,1
546,662,849,chat,26,5,10,1
547,1746,497,chat,48,1,2,0
548,204,642,chat,6,1,4,0
549,904,468,video_call,32,2,4,0
550,1807,666,chat,15,3,2,0
551,1341,370,chat,10,3,4,0
552,107,406,chat,51,2,8,0
553,1343,94,video_call,5,2,8,0
554,160,136,video_call,38,4,2,1
555,704,837,video_call,60,4,4,1
556,469,393,video_call,51,1,2,0
557,642,377,chat,13,4,4,1
558,1387,147,video_call,38,5,2,1
559,337,451,chat,51,2,4,0
560,1884,422,chat,60,2,2,0
561,1837,103,video_call,53,1,10,0
562,1496,394,chat,32,3,4,0
563,508,284,video_call,20,5,10,1
564,1245,292,video_call,59,3,4,0
565,1061,622,video_call,52,4,6,1
566,1606,920,video_call,36,4,2,1
567,1307,609,video_call,38,1,6,0
568,1913,325,video_call,29,5,8,1
569,1399,177,chat,54,1,2,0
570,1203,70,video_call,21,2,2,0
571,1890,62,chat,37,3,10,0
572,1572,426,chat,49,4,2,1
573,1102,631,video_call,22,1,6,0
574,162,524,video_call,56,2,10,0
575,670,401,video_call,24,4,4,1
576,177,947,chat,12,4,10,1
577,634,683,video_call,12,1,4,0
578,1437,12,video_call,36,3,10,0
579,1060,802,chat,15,3,4,0
580,1536,800,chat,51,1,2,0
581,687,827,chat,22,5,2,1
582,1997,591,video_call,36,4,10,1
583,1024,880,video_call,28,2,6,0
584,1584,106,video_call,19,5,2,1
585,1768,13,video_call,7,4,6,1
586,308,184,video_call,40,4,4,1
587,853,938,chat,22,1,10,0
588,764,123,video_call,16,2,10,0
589,95,977,chat,9,4,6,0
590,637,336,video_call,40,4,2,1
591,598,578,chat,52,5,4,1
592,1212,996,chat,54,2,10,0
593,1558,816,video_call,14,1,8,0
594,49,239,chat,45,1,6,0
595,3,778,chat,59,3,2,0
596,421,543,video_call,31,4,2,0
597,292,729,chat,10,1,4,0
598,1838,866,chat,49,3,8,0
599,1996,766,video_call,42,1,10,0
600,274,653,chat,9,5,10,1
601,1357,988,video_call,20,3,6,0
602,1743,323,chat,49,3,6,0
603,928,279,video_call,9,2,4,0
604,1598,789,video_call,14,1,4,0
605,921,478,chat,31,1,10,0
606,734,988,video_call,33,3,8,0
607,543,873,video_call,10,2,6,0
608,1693,722,video_call,18,3,4,0
609,187,729,video_call,27,4,10,1
610,613,267,video_call,6,4,8,1
611,1127,256,video_call,34,1,4,0
612,249,13,video_call,58,2,4,0
613,406,844,chat,28,1,10,0
614,1201,266,video_call,6,1,4,0
615,1849,662,chat,56,2,2,0
616,1854,868,chat,12,1,8,0
617,104,173,chat,57,4,8,1
618,1400,437,video_call,27,2,4,0
619,564,287,chat,14,1,10,0
620,1269,632,video_call,46,3,8,0
621,844,904,chat,8,1,6,0
622,785,141,chat,17,5,4,1
623,1643,557,video_call,29,3,8,0
624,1116,801,chat,27,5,10,1
625,554,185,video_call,25,5,4,1
626,1661,798,chat,8,4,10,1
627,1197,239,video_call,11,2,4,0
628,546,547,video_call,53,2,10,0
629,1734,817,chat,27,2,4,0
630,485,607,chat,56,3,10,0
631,58,721,chat,41,5,4,1
632,386,857,chat,39,3,4,0
633,1005,39,video_call,8,2,10,0
634,449,21,chat,5,3,10,0
635,413,826,video_call,26,2,6,0
636,122,23,video_call,42,2,2,0
637,1734,539,chat,9,3,8,0
638,1201,104,chat,24,3,4,0
639,1999,162,chat,55,4,6,1
640,1984,576,chat,19,5,4,1
641,1504,706,chat,13,2,2,0
642,1944,719,chat,59,5,2,1
643,652,944,video_call,45,5,2,0
644,289,340,video_call,20,3,6,0
645,344,652,video_call,57,3,8,0
646,24,272,video_call,20,1,6,0
647,526,806,video_call,51,1,2,0
648,791,449,chat,15,4,8,0
649,720,560,chat,11,4,10,1
650,1408,231,video_call,33,1,2,0
651,604,21,chat,21,1,2,0
652,701,175,chat,15,1,10,0
653,1929,920,video_call,26,5,10,0
654,1443,32,chat,46,2,10,0
655,1823,445,video_call,8,1,6,0
656,421,998,video_call,31,5,10,1
657,577,305,video_call,11,1,8,0
658,1171,563,chat,14,1,6,0
659,8,438,video_call,23,5,8,1
660,53,212,video_call,45,3,2,0
661,970,865,video_call,24,4,8,1
662,1354,272,video_call,46,5,8,1
663,1814,391,chat,16,4,2,1
664,953,270,video_call,58,3,10,0
665,127,155,video_call,10,3,10,0
666,848,995,video_call,40,1,8,0
667,1677,536,chat,39,4,10,0
668,976,307,video_call,30,1,10,0
669,1170,923,video_call,12,4,4,0
670,343,996,video_call,56,2,4,0
671,88,434,video_call,48,4,4,0
672,1285,152,chat,25,1,2,0
673,795,570,chat,40,3,6,0
674,1065,470,video_call,55,5,10,1
675,860,116,chat,14,2,10,0
676,1205,597,video_call,11,5,2,0
677,1777,549,chat,31,3,8,0
678,1342,498,chat,7,2,6,0
679,826,148,chat,7,4,6,1
680,101,764,chat,22,3,2,0
681,692,838,chat,24,3,8,0
682,1758,713,video_call,60,2,4,0
683,616,998,chat,54,3,6,0
684,1493,427,video_call,17,4,4,0
685,834,759,chat,53,5,6,0
686,1056,811,video_call,9,3,10,0
687,827,139,video_call,16,2,4,0
688,1715,60,video_call,7,4,2,0
689,1444,204,chat,28,4,10,1
690,1891,127,video_call,20,3,8,0
691,1217,457,video_call,60,4,10,1
692,706,168,chat,52,1,6,0
693,57,396,video_call,15,5,4,0
694,1326,231,video_call,22,4,10,1
695,1599,991,video_call,35,2,4,0
696,1232,821,video_call,19,3,10,0
697,1649,966,chat,50,3,8,0
698,1834,386,chat,34,3,4,0
699,956,310,chat,42,1,2,0
700,1048,679,chat,40,5,10,1
701,1402,111,chat,9,3,6,0
702,1312,333,chat,21,3,4,0
703,308,530,video_call,8,5,8,1
704,1395,144,video_call,46,4,6,1
705,858,415,chat,52,1,10,0
706,1451,586,video_call,26,2,10,0
707,1308,804,chat,47,3,10,0
708,615,866,video_call,58,5,4,1
709,965,132,chat,51,5,4,0
710,1843,344,video_call,19,3,4,0
711,1525,893,chat,31,3,6,0
712,534,600,chat,34,1,8,0
713,110,888,video_call,35,2,10,0
714,246,889,chat,38,3,8,0
715,111,892,video_call,13,2,6,0
716,839,584,chat,14,3,4,0
717,1596,83,chat,26,2,6,0
718,1300,60,video_call,33,3,4,0
719,1559,793,video_call,41,2,8,0
720,1609,782,video_call,13,5,8,1
721,827,440,chat,29,1,2,0
722,1094,205,chat,5,3,10,0
723,391,19,video_call,45,2,4,0
724,1421,899,chat,24,2,2,0
725,786,516,chat,15,1,2,0
726,611,972,chat,34,5,10,1
727,889,910,video_call,26,4,6,0
728,338,971,chat,6,2,4,0
729,1490,135,video_call,51,1,10,0
730,1034,174,video_call,28,1,8,0
731,1796,656,chat,54,5,10,1
732,99,678,video_call,46,1,2,0
733,1413,119,chat,33,4,2,1
734,972,719,video_call,18,1,6,0
735,862,678,video_call,47,5,6,1
736,1436,141,chat,58,1,10,0
737,1473,633,video_call,23,1,2,0
738,1020,204,video_call,54,3,10,0
739,1993,207,chat,50,4,6,1
740,1123,509,video_call,49,4,6,1
741,27,688,video_call,12,5,8,1
742,185,799,video_call,51,1,6,0
743,1320,237,chat,23,3,8,0
744,103,103,video_call,60,1,6,0
745,738,821,chat,32,1,2,0
746,1744,777,video_call,5,2,4,0
747,674,367,chat,44,3,2,0
748,764,835,chat,16,1,8,0
749,820,986,chat,22,4,8,0
750,1329,908,video_call,12,2,2,0
751,1931,865,video_call,11,4,10,1
752,1166,695,chat,16,5,8,0
753,1253,30,video_call,35,4,2,0
754,903,48,video_call,21,3,2,0
755,1443,890,video_call,47,3,10,0
756,1072,705,video_call,32,2,8,0
757,709,680,chat,14,5,10,1
758,1318,957,video_call,37,4,8,0
759,154,770,chat,25,2,6,0
760,1987,285,video_call,37,2,10,0
761,1318,388,chat,57,2,2,0
762,941,455,chat,10,4,8,1
763,1019,764,video_call,11,4,8,1
764,1125,1,video_call,55,5,10,1
765,1823,521,video_call,46,4,6,1
766,112,837,video_call,59,4,6,1
767,1270,615,chat,50,3,8,0
768,234,100,video_call,5,3,6,0
769,1700,649,chat,40,5,6,0
770,94,919,video_call,36,2,8,0
771,220,261,video_call,17,1,8,0
772,442,469,video_call,50,3,2,0
