interaction_id,user_id,mentor_id,interaction_type,session_duration_minutes,rating_given_by_user,helpfulness_score,match_success
113,1695,182,video_call,9,1,2,0
114,1977,484,video_call,52,1,2,0
115,1618,789,chat,13,4,8,1
116,1096,123,chat,59,2,4,0
117,394,640,video_call,18,3,6,0
118,560,338,chat,44,1,2,0
119,1902,157,chat,36,1,2,0
120,1201,703,chat,50,4,8,1
121,631,780,chat,56,1,2,0
122,1937,664,chat,5,5,10,1
123,1345,353,video_call,42,4,8,1
124,1798,689,chat,32,4,8,1
125,1732,155,video_call,43,3,6,0
126,1269,391,chat,52,2,4,0
127,90,429,video_call,22,5,10,1
128,907,219,video_call,16,1,2,0
129,541,96,chat,53,1,2,0
130,1964,365,video_call,37,5,10,1
131,964,337,video_call,9,4,8,1
132,1285,517,video_call,20,5,10,1
133,1605,442,video_call,29,1,2,0
134,851,294,chat,59,3,6,0
135,1483,76,video_call,54,3,6,0
136,1938,54,video_call,8,5,10,1
137,960,48,video_call,40,4,8,1
138,1543,109,chat,33,1,2,0
139,1906,135,chat,18,1,2,0
140,704,490,chat,45,3,6,0
141,475,672,video_call,45,4,8,1
142,997,655,video_call,11,5,10,1
143,1892,414,video_call,38,5,10,1
144,318,687,chat,49,2,4,0
145,1236,316,chat,59,3,6,0
146,1433,562,chat,42,5,10,1
147,106,128,chat,42,4,8,1
148,1566,378,video_call,39,3,6,0
149,501,662,chat,18,2,4,0
150,419,427,chat,12,1,2,0
151,1220,332,video_call,27,1,2,0
152,827,59,chat,25,5,10,1
153,492,64,video_call,38,1,2,0
154,715,227,chat,49,3,6,0
155,1463,65,video_call,37,3,6,0
156,863,640,video_call,52,2,4,0
157,126,508,chat,51,5,10,1
158,1289,151,video_call,56,2,4,0
159,88,30,video_call,16,3,6,0
160,404,241,video_call,47,5,10,1
161,820,483,chat,16,2,4,0
162,1417,219,chat,41,5,10,1
163,1551,472,video_call,21,3,6,0
164,863,688,video_call,16,1,2,0
165,1616,390,video_call,54,1,2,0
166,1881,115,video_call,23,5,10,1
167,38,317,video_call,23,3,6,0
168,414,227,video_call,22,4,8,1
169,745,529,video_call,39,3,6,0
170,159,203,chat,58,2,4,0
171,1549,68,chat,14,1,2,0
172,1694,121,chat,54,4,8,1
173,500,26,video_call,48,3,6,0
174,118,232,chat,45,1,2,0
175,1877,595,chat,49,5,10,1
176,1765,113,chat,8,3,6,0
177,779,404,chat,28,4,8,1
178,1093,29,video_call,26,2,4,0
179,858,165,chat,43,4,8,1
180,1999,77,chat,46,4,8,1
181,876,489,chat,48,5,10,1
182,1620,412,chat,9,3,6,0
183,390,473,video_call,20,2,4,0
184,354,239,video_call,44,2,4,0
185,344,346,video_call,12,3,6,0
186,181,167,chat,14,4,8,1
187,1673,723,chat,9,4,8,1
188,1546,336,video_call,10,4,8,1
189,1813,86,chat,35,2,4,0
190,1382,554,chat,13,4,8,1
191,1089,188,chat,8,2,4,0
192,148,564,chat,57,3,6,0
193,716,151,chat,48,4,8,1
194,559,293,video_call,15,2,4,0
195,1657,671,video_call,23,4,8,1
196,1003,495,chat,14,3,6,0
197,1491,365,chat,12,2,4,0
198,714,690,chat,36,2,4,0
199,187,180,video_call,25,3,6,0
200,640,735,chat,40,3,6,0
201,742,258,chat,55,1,2,0
202,103,301,video_call,20,2,4,0
203,1279,449,video_call,39,2,4,0
204,1420,192,video_call,42,1,2,0
205,343,356,chat,56,1,2,0
206,940,746,video_call,15,5,10,1
207,1258,616,chat,14,4,8,1
208,539,382,chat,25,3,6,0
209,65,621,chat,35,2,4,0
210,261,388,video_call,5,3,6,0
211,563,417,video_call,55,2,4,0
212,787,574,video_call,53,2,4,0
213,1608,258,chat,38,3,6,0
214,1280,6,video_call,52,1,2,0
215,417,152,chat,49,4,8,1
216,1344,181,chat,12,5,10,1
217,110,520,chat,21,2,4,0
218,1468,130,chat,60,1,2,0
219,1184,126,chat,38,5,10,1
220,1865,738,chat,58,4,8,1
221,153,573,video_call,46,1,2,0
222,1925,650,chat,60,4,8,1
223,1652,779,video_call,49,5,10,1
224,390,683,chat,50,1,2,0
225,687,562,video_call,25,5,10,1
226,1600,120,video_call,54,5,10,1
227,1139,588,chat,57,1,2,0
228,901,573,chat,19,1,2,0
229,855,296,video_call,12,4,8,1
230,112,442,chat,17,1,2,0
231,475,469,chat,28,4,8,1
232,1276,225,chat,44,5,10,1
233,1438,795,video_call,12,4,8,1
234,132,175,chat,47,3,6,0
235,1257,569,chat,29,2,4,0
236,1506,528,chat,40,2,4,0
237,686,37,chat,20,5,10,1
238,1994,319,chat,60,2,4,0
239,983,435,video_call,13,4,8,1
240,695,308,chat,39,5,10,1
241,1282,430,video_call,53,4,8,1
242,113,519,video_call,24,4,8,1
243,717,415,video_call,57,4,8,1
244,1447,674,chat,60,1,2,0
245,972,264,video_call,49,2,4,0
246,1670,545,video_call,18,3,6,0
247,1643,117,chat,51,2,4,0
248,892,400,chat,57,5,10,1
249,458,225,video_call,27,5,10,1
250,1425,14,video_call,48,4,8,1
251,741,739,video_call,47,5,10,1
252,1383,634,video_call,31,3,6,0
253,898,578,chat,14,1,2,0
254,277,637,video_call,11,4,8,1
255,791,99,chat,14,5,10,1
256,528,696,video_call,12,3,6,0
257,928,679,video_call,28,4,8,1
258,820,343,chat,19,3,6,0
259,1328,392,video_call,46,1,2,0
260,360,416,video_call,34,5,10,1
261,1057,506,video_call,6,3,6,0
262,611,583,video_call,39,5,10,1
263,1936,317,chat,6,3,6,0
264,1024,250,video_call,10,2,4,0
265,86,338,chat,30,3,6,0
266,1752,786,video_call,40,2,4,0
267,491,273,chat,30,3,6,0
268,1534,534,chat,40,5,10,1
269,1735,141,chat,40,2,4,0
270,861,434,video_call,41,1,2,0
271,583,311,video_call,12,5,10,1
272,1142,190,video_call,47,3,6,0
273,1201,330,video_call,59,2,4,0
274,1570,710,video_call,53,4,8,1
275,394,505,chat,50,2,4,0
276,1557,558,chat,58,4,8,1
277,477,267,chat,56,1,2,0
278,1477,215,video_call,33,5,10,1
279,850,796,chat,7,3,6,0
280,1133,624,chat,16,5,10,1
281,711,248,video_call,49,3,6,0
282,1920,157,chat,26,3,6,0
283,926,682,video_call,37,5,10,1
284,1155,435,chat,15,2,4,0
285,1189,17,chat,41,1,2,0
286,101,16,video_call,12,1,2,0
287,1068,47,chat,30,2,4,0
288,764,306,chat,21,5,10,1
289,366,369,video_call,26,4,8,1
290,1728,711,chat,10,3,6,0
291,919,456,video_call,23,1,2,0
292,820,677,chat,18,4,8,1
293,1689,180,video_call,31,1,2,0
294,1538,413,video_call,20,3,6,0
295,1886,578,chat,19,3,6,0
296,1381,728,chat,35,2,4,0
297,1099,777,chat,25,4,8,1
298,1619,338,chat,60,2,4,0
299,1573,365,chat,5,4,8,1
300,117,291,video_call,25,2,4,0
301,755,294,video_call,39,2,4,0
302,756,717,video_call,30,2,4,0
303,1399,200,chat,50,3,6,0
304,242,528,chat,46,2,4,0
305,1134,594,chat,29,2,4,0
306,329,599,video_call,20,2,4,0
307,360,677,video_call,59,1,2,0
308,1364,251,chat,43,2,4,0
309,1759,392,chat,37,5,10,1
310,1620,783,chat,6,2,4,0
311,1356,777,chat,27,3,6,0
312,431,448,chat,32,4,8,1
313,244,273,chat,60,5,10,1
314,1547,597,chat,10,1,2,0
315,851,134,video_call,10,4,8,1
316,1981,654,chat,16,1,2,0
317,62,609,video_call,53,2,4,0
318,1516,56,video_call,48,1,2,0
319,1476,657,video_call,12,2,4,0
320,1358,317,video_call,14,5,10,1
321,338,582,chat,24,3,6,0
322,545,473,video_call,50,5,10,1
323,1174,799,video_call,47,5,10,1
324,1769,711,chat,40,3,6,0
325,1349,521,video_call,54,2,4,0
326,316,492,video_call,38,4,8,1
327,596,374,video_call,47,4,8,1
328,1154,61,video_call,44,5,10,1
329,135,531,video_call,35,1,2,0
330,1893,21,chat,52,4,8,1
331,787,598,video_call,25,5,10,1
332,699,546,video_call,41,5,10,1
333,30,600,video_call,18,2,4,0
334,1859,391,video_call,9,1,2,0
335,1262,107,chat,29,3,6,0
336,1651,258,video_call,43,5,10,1
337,1360,508,chat,7,4,8,1
338,387,352,chat,39,2,4,0
339,866,636,video_call,17,5,10,1
340,1221,94,chat,23,2,4,0
341,397,167,video_call,17,5,10,1
342,1355,279,video_call,18,5,10,1
343,1995,700,video_call,58,4,8,1
344,1611,218,video_call,42,2,4,0
345,1816,370,chat,55,4,8,1
346,101,1,video_call,13,3,6,0
347,291,319,video_call,32,2,4,0
348,1915,519,video_call,22,4,8,1
349,974,792,chat,20,5,10,1
350,221,515,chat,28,4,8,1
351,1401,566,chat,58,3,6,0
352,1729,119,video_call,22,1,2,0
353,959,291,chat,39,4,8,1
354,1106,272,video_call,53,2,4,0
355,14,289,video_call,38,2,4,0
356,965,360,chat,52,3,6,0
357,854,74,chat,13,2,4,0
358,1103,793,video_call,25,5,10,1
359,1962,667,chat,59,5,10,1
360,578,348,video_call,19,4,8,1
361,37,211,video_call,28,3,6,0
362,1780,698,video_call,27,3,6,0
363,897,105,chat,52,1,2,0
364,363,553,video_call,48,3,6,0
365,1730,707,video_call,28,3,6,0
366,1017,587,video_call,6,4,8,1
367,82,496,chat,12,3,6,0
368,240,557,chat,32,1,2,0
369,565,7,chat,31,4,8,1
370,1392,515,video_call,33,2,4,0
371,688,361,video_call,18,1,2,0
372,1859,190,chat,31,5,10,1
373,317,793,video_call,17,2,4,0
374,1186,150,chat,37,3,6,0
375,1497,284,chat,54,1,2,0
376,1328,477,video_call,50,4,8,1
377,1325,753,video_call,28,1,2,0
378,587,423,video_call,6,2,4,0
379,328,157,chat,38,4,8,1
380,29,797,video_call,50,1,2,0
381,269,480,chat,55,3,6,0
382,352,168,chat,7,4,8,1
383,597,678,video_call,24,4,8,1
384,1488,765,chat,13,2,4,0
385,1566,499,video_call,52,5,10,1
386,410,507,chat,35,4,8,1
387,318,653,video_call,57,3,6,0
388,26,489,chat,55,2,4,0
389,646,761,chat,18,4,8,1
390,834,657,chat,34,4,8,1
391,115,338,video_call,42,4,8,1
392,431,472,chat,5,2,4,0
393,1311,634,chat,36,5,10,1
394,959,383,chat,39,2,4,0
395,834,503,video_call,11,4,8,1
396,1519,483,video_call,54,3,6,0
397,1277,726,video_call,10,4,8,1
398,652,306,chat,40,1,2,0
399,337,782,chat,25,1,2,0
400,1486,30,video_call,15,1,2,0
401,1539,429,video_call,40,3,6,0
402,189,187,chat,25,1,2,0
403,321,40,chat,49,1,2,0
404,1369,780,chat,33,2,4,0
405,1723,538,chat,59,1,2,0
406,891,86,video_call,37,4,8,1
407,897,693,chat,17,4,8,1
408,1846,102,video_call,43,4,8,1
409,1399,204,video_call,36,4,8,1
410,877,53,video_call,30,4,8,1
411,1222,706,video_call,9,4,8,1
412,684,726,chat,44,3,6,0
413,13,587,video_call,10,5,10,1
414,500,320,video_call,54,5,10,1
415,1493,189,video_call,52,2,4,0
416,1784,111,chat,48,3,6,0
417,348,543,video_call,45,2,4,0
418,864,423,chat,48,1,2,0
419,1224,183,chat,15,5,10,1
420,1985,800,chat,56,4,8,1
421,1497,194,video_call,31,3,6,0
422,122,170,video_call,33,3,6,0
423,1794,309,video_call,15,2,4,0
424,284,454,video_call,53,4,8,1
425,736,57,chat,38,4,8,1
426,1303,479,video_call,60,5,10,1
427,1122,442,video_call,37,5,10,1
428,258,480,video_call,48,3,6,0
429,1299,772,chat,60,3,6,0
430,246,626,video_call,41,5,10,1
431,1022,249,video_call,36,3,6,0
432,1486,323,video_call,6,3,6,0
433,160,531,chat,56,1,2,0
434,1191,498,chat,35,1,2,0
435,581,482,video_call,33,3,6,0
436,4,386,chat,15,5,10,1
437,396,752,chat,52,5,10,1
438,365,412,video_call,22,5,10,1
439,493,605,chat,36,1,2,0
440,578,797,chat,59,1,2,0
441,1743,394,chat,33,1,2,0
442,715,74,video_call,32,1,2,0
443,642,279,chat,45,1,2,0
444,65,456,video_call,12,5,10,1
445,286,233,chat,12,3,6,0
446,1986,304,chat,46,2,4,0
447,10,290,chat,32,3,6,0
448,323,397,video_call,49,1,2,0
449,855,36,video_call,52,1,2,0
450,1147,18,video_call,35,4,8,1
451,372,689,chat,36,2,4,0
452,499,660,chat,51,2,4,0
453,240,643,chat,47,1,2,0
454,956,635,chat,60,4,8,1
455,1123,107,chat,8,5,10,1
456,1390,366,chat,13,2,4,0
457,796,200,video_call,59,2,4,0
458,1908,309,chat,58,3,6,0
459,912,151,chat,53,2,4,0
460,1773,26,video_call,10,5,10,1
461,1925,734,video_call,5,2,4,0
462,143,156,chat,49,5,10,1
463,1203,316,video_call,28,3,6,0
464,79,44,chat,8,1,2,0
465,1879,219,chat,14,4,8,1
466,439,71,video_call,48,4,8,1
467,177,15,video_call,28,5,10,1
468,318,500,chat,16,5,10,1
469,792,550,video_call,59,2,4,0
470,759,398,video_call,14,1,2,0
471,1734,722,video_call,31,5,10,1
472,185,184,chat,21,1,2,0
473,817,367,chat,60,4,8,1
474,79,465,video_call,29,1,2,0
475,71,591,chat,16,4,8,1
476,1947,143,chat,21,5,10,1
477,708,538,video_call,49,2,4,0
478,887,256,video_call,39,4,8,1
479,675,187,chat,49,5,10,1
480,84,232,chat,50,2,4,0
481,736,95,chat,46,1,2,0
482,1534,471,video_call,6,2,4,0
483,1064,383,video_call,45,1,2,0
484,948,164,chat,56,3,6,0
485,1374,386,video_call,32,1,2,0
486,334,423,chat,44,5,10,1
487,9,661,video_call,26,2,4,0
488,380,622,chat,11,2,4,0
489,500,170,video_call,15,3,6,0
490,330,641,chat,8,3,6,0
491,1200,227,chat,12,3,6,0
492,1249,129,chat,54,3,6,0
493,711,39,video_call,52,1,2,0
494,1871,654,video_call,31,2,4,0
495,1331,94,video_call,32,3,6,0
496,1271,573,chat,15,2,4,0
497,1855,208,video_call,12,1,2,0
498,1941,62,video_call,11,3,6,0
499,1435,209,chat,9,1,2,0
500,1544,530,video_call,46,3,6,0
501,1068,775,video_call,13,5,10,1
502,593,548,chat,54,1,2,0
503,900,496,chat,15,4,8,1
504,534,298,video_call,36,5,10,1
505,568,159,chat,26,2,4,0
506,501,143,video_call,8,2,4,0
507,1672,380,video_call,44,5,10,1
508,872,638,chat,19,5,10,1
509,93,28,chat,11,4,8,1
510,74,227,chat,15,2,4,0
511,1570,490,video_call,42,5,10,1
512,1806,263,chat,31,3,6,0
513,959,135,video_call,49,2,4,0
514,467,260,video_call,51,1,2,0
515,949,63,video_call,43,5,10,1
516,443,743,chat,23,3,6,0
517,64,303,video_call,43,4,8,1
518,1644,265,video_call,50,5,10,1
519,809,658,video_call,13,1,2,0
520,124,349,chat,7,5,10,1
521,1293,794,chat,7,4,8,1
522,926,519,video_call,37,5,10,1
523,815,391,chat,12,4,8,1
524,916,554,video_call,46,1,2,0
525,778,37,video_call,8,2,4,0
526,384,88,video_call,12,3,6,0
527,550,663,chat,58,4,8,1
528,899,537,video_call,36,1,2,0
529,1410,757,video_call,15,2,4,0
530,683,639,chat,42,1,2,0
531,429,445,video_call,9,2,4,0
532,1978,149,chat,49,1,2,0
533,767,712,video_call,30,1,2,0
534,124,524,chat,54,1,2,0
535,714,780,chat,13,5,10,1
536,1176,242,video_call,45,1,2,0
537,832,142,chat,54,3,6,0
538,111,145,chat,43,1,2,0
539,779,612,chat,59,5,10,1
540,1142,785,chat,9,5,10,1
541,738,256,video_call,55,5,10,1
542,1581,697,chat,53,5,10,1
543,1394,2,video_call,22,2,4,0
544,1268,269,chat,32,5,10,1
545,824,435,video_call,49,4,8,1
546,1801,302,chat,5,4,8,1
547,848,413,chat,40,1,2,0
548,1620,684,chat,16,5,10,1
549,1842,473,chat,30,4,8,1
550,809,557,video_call,51,4,8,1
551,982,564,chat,42,3,6,0
552,1344,629,chat,16,5,10,1
553,1143,658,video_call,17,3,6,0
554,624,293,chat,13,3,6,0
555,438,798,video_call,11,4,8,1
556,1077,336,chat,22,4,8,1
557,1642,337,chat,59,2,4,0
558,1193,82,video_call,47,2,4,0
559,438,168,chat,13,3,6,0
560,242,322,video_call,58,5,10,1
561,1456,762,video_call,21,5,10,1
562,303,541,video_call,27,5,10,1
563,1980,285,chat,56,3,6,0
564,1615,309,chat,7,5,10,1
565,1771,461,video_call,46,3,6,0
566,1068,540,video_call,55,1,2,0
567,643,64,chat,54,5,10,1
568,1280,7,video_call,9,3,6,0
569,1134,590,chat,10,2,4,0
570,1374,212,chat,14,4,8,1
571,1192,137,chat,57,4,8,1
572,1208,261,chat,32,5,10,1
573,394,482,chat,32,4,8,1
574,390,541,chat,41,5,10,1
575,194,178,chat,5,4,8,1
576,145,421,chat,36,5,10,1
577,741,601,chat,39,1,2,0
578,1389,740,video_call,12,1,2,0
579,478,406,video_call,34,1,2,0
580,1292,226,video_call,48,2,4,0
581,925,585,video_call,57,4,8,1
582,1268,271,chat,39,1,2,0
583,210,348,chat,40,2,4,0
584,753,222,video_call,23,1,2,0
585,1308,597,video_call,16,2,4,0
586,1226,479,chat,26,4,8,1
587,1135,740,chat,34,2,4,0
588,885,500,chat,40,4,8,1
589,498,615,chat,53,2,4,0
590,1456,695,chat,31,3,6,0
591,99,763,chat,40,3,6,0
592,70,471,chat,53,2,4,0
593,145,91,video_call,10,3,6,0
594,367,238,chat,13,4,8,1
595,199,226,video_call,34,4,8,1
596,525,284,chat,53,4,8,1
597,1314,452,chat,10,3,6,0
598,89,216,chat,28,3,6,0
599,1436,64,video_call,5,3,6,0
600,887,26,chat,14,2,4,0
601,567,379,video_call,51,5,10,1
602,462,524,chat,26,2,4,0
603,596,216,chat,16,4,8,1
604,1127,150,chat,18,1,2,0
605,1494,581,chat,48,4,8,1
606,241,61,chat,28,3,6,0
607,979,193,video_call,31,2,4,0
608,1645,180,video_call,23,2,4,0
609,866,583,video_call,15,4,8,1
610,305,540,video_call,5,1,2,0
611,1570,475,video_call,28,1,2,0
612,1710,616,video_call,33,5,10,1
613,179,787,video_call,37,4,8,1
614,1584,124,video_call,7,3,6,0
615,480,333,video_call,8,1,2,0
616,543,584,chat,52,3,6,0
617,566,645,chat,40,1,2,0
618,1134,595,video_call,60,5,10,1
619,1016,598,video_call,30,1,2,0
620,314,474,video_call,60,4,8,1
621,402,160,video_call,11,4,8,1
622,997,605,chat,35,3,6,0
623,1414,179,video_call,29,2,4,0
624,478,237,chat,42,3,6,0
625,881,147,chat,26,4,8,1
626,1294,786,chat,60,5,10,1
627,369,257,chat,45,1,2,0
628,804,203,video_call,9,4,8,1
629,1523,454,video_call,22,3,6,0
630,368,613,video_call,13,2,4,0
631,1515,400,video_call,28,1,2,0
632,387,791,chat,51,4,8,1
633,1072,483,chat,43,4,8,1
634,765,623,video_call,58,1,2,0
635,1987,180,video_call,40,2,4,0
636,325,469,video_call,14,4,8,1
637,1353,267,chat,54,1,2,0
638,604,291,chat,14,4,8,1
639,449,446,chat,50,2,4,0
640,499,316,video_call,7,2,4,0
641,426,694,video_call,26,1,2,0
642,1434,102,chat,22,4,8,1
643,1802,531,chat,38,2,4,0
644,605,231,video_call,49,3,6,0
645,323,177,video_call,52,2,4,0
646,205,531,video_call,19,1,2,0
647,1601,701,chat,44,5,10,1
648,1493,262,video_call,36,1,2,0
649,1401,375,chat,15,5,10,1
650,1007,272,video_call,14,5,10,1
651,656,632,video_call,55,3,6,0
652,926,514,chat,38,3,6,0
653,1999,738,video_call,28,2,4,0
654,1357,90,video_call,38,4,8,1
655,1498,736,chat,55,3,6,0
656,1202,327,chat,31,3,6,0
657,1947,55,chat,19,4,8,1
658,1120,779,chat,15,4,8,1
659,1577,144,video_call,29,4,8,1
660,299,724,chat,43,4,8,1
661,1586,597,chat,44,5,10,1
662,1845,195,chat,28,3,6,0
663,1721,375,video_call,54,2,4,0
664,144,150,chat,45,1,2,0
665,1095,558,video_call,31,1,2,0
666,539,130,video_call,23,2,4,0
667,247,773,video_call,28,5,10,1
668,800,275,chat,22,5,10,1
669,1507,170,video_call,37,1,2,0
670,1062,626,video_call,38,4,8,1
671,788,601,video_call,26,1,2,0
672,772,761,video_call,20,5,10,1
673,1161,665,chat,48,3,6,0
674,1674,449,chat,29,3,6,0
675,524,130,video_call,24,5,10,1
676,76,104,chat,6,2,4,0
677,390,168,video_call,58,4,8,1
678,1009,429,video_call,41,2,4,0
679,163,411,video_call,38,5,10,1
680,414,254,video_call,22,3,6,0
681,1552,453,video_call,39,4,8,1
682,306,394,chat,30,4,8,1
683,1854,181,chat,58,5,10,1
684,1981,603,video_call,15,3,6,0
685,848,191,video_call,41,4,8,1
686,1568,10,video_call,58,3,6,0
687,388,240,video_call,13,3,6,0
688,132,91,chat,26,3,6,0
689,472,548,video_call,7,1,2,0
690,65,710,chat,50,3,6,0
691,1073,1,video_call,35,2,4,0
692,1557,785,chat,16,2,4,0
693,661,713,chat,58,4,8,1
694,951,444,chat,32,4,8,1
695,698,720,video_call,38,3,6,0
696,297,776,video_call,34,5,10,1
697,512,396,chat,27,2,4,0
698,63,77,chat,7,5,10,1
699,1390,456,video_call,13,5,10,1
700,1282,242,video_call,17,1,2,0
701,492,134,chat,55,3,6,0
702,1879,138,chat,37,1,2,0
703,1437,691,chat,32,4,8,1
704,1636,606,video_call,52,5,10,1
705,1667,34,video_call,31,5,10,1
706,1079,770,video_call,36,4,8,1
707,850,684,chat,45,4,8,1
708,1070,347,chat,51,3,6,0
709,1692,115,video_call,27,2,4,0
710,1005,319,chat,58,5,10,1
711,1507,293,chat,56,2,4,0
712,1690,195,video_call,26,2,4,0
713,1414,517,video_call,46,2,4,0
714,736,21,chat,21,2,4,0
715,1943,314,chat,45,1,2,0
716,401,112,video_call,50,2,4,0
717,1586,184,chat,40,5,10,1
718,37,159,chat,13,2,4,0
719,632,702,chat,17,1,2,0
720,1394,253,video_call,41,5,10,1
721,1874,371,video_call,6,4,8,1
722,1992,523,video_call,51,4,8,1
723,1950,1,chat,19,2,4,0
724,849,380,chat,26,4,8,1
725,1276,787,chat,27,5,10,1
726,1737,36,chat,37,5,10,1
727,732,348,chat,43,1,2,0
728,379,208,video_call,40,3,6,0
729,1959,486,video_call,49,2,4,0
730,166,779,video_call,22,3,6,0
731,1493,154,chat,35,3,6,0
732,200,607,video_call,15,4,8,1
733,1396,622,video_call,10,5,10,1
734,420,779,chat,20,3,6,0
735,1404,760,video_call,30,3,6,0
736,150,12,chat,5,3,6,0
737,438,513,video_call,36,5,10,1
738,831,680,video_call,6,4,8,1
739,1958,494,chat,30,3,6,0
740,1778,778,video_call,40,1,2,0
741,685,95,video_call,51,4,8,1
742,981,626,video_call,46,4,8,1
743,1761,781,video_call,36,3,6,0
744,177,181,chat,6,5,10,1
745,1029,304,video_call,33,5,10,1
746,1974,115,chat,33,5,10,1
747,386,553,video_call,29,2,4,0
748,1603,634,chat,31,5,10,1
749,619,666,video_call,16,3,6,0
750,346,66,chat,6,1,2,0
751,1124,42,chat,26,4,8,1
752,1986,338,video_call,47,5,10,1
753,1634,314,video_call,15,5,10,1
754,247,111,chat,42,2,4,0
755,1142,8,video_call,35,5,10,1
756,729,716,video_call,47,1,2,0
757,1341,376,chat,23,1,2,0
758,555,362,chat,56,4,8,1
759,110,488,video_call,54,5,10,1
760,855,760,video_call,17,1,2,0
761,275,63,video_call,14,5,10,1
762,136,701,chat,24,3,6,0
763,1696,557,video_call,22,3,6,0
764,1310,461,chat,19,4,8,1
765,1412,480,video_call,20,4,8,1
766,1741,509,video_call,35,2,4,0
767,769,298,video_call,53,4,8,1
768,1254,660,video_call,38,5,10,1
769,1099,9,chat,34,1,2,0
770,1852,80,video_call,32,1,2,0
771,568,191,video_call,33,4,8,1
772,1376,29,chat,24,3,6,0
773,581,141,chat,36,3,6,0
